"year","country","intensity","Reference_key","Scenario_key","scope"
2023,"Ireland",31.06844325,"CRREM","CRREM EU Multi-family","Combined"
2023,"Italy",14.23359853,"CRREM","CRREM EU Multi-family","Combined"
2023,"Latvia",20.8524277,"CRREM","CRREM EU Multi-family","Combined"
2023,"Lithuania",24.83204315,"CRREM","CRREM EU Multi-family","Combined"
2023,"Luxembourg",27.89284788,"CRREM","CRREM EU Multi-family","Combined"
2023,"Malta",13.08051758,"CRREM","CRREM EU Multi-family","Combined"
2023,"Netherlands",22.10918807,"CRREM","CRREM EU Multi-family","Combined"
2023,"Poland",55.15462796,"CRREM","CRREM EU Multi-family","Combined"
2023,"Portugal",9.395627827,"CRREM","CRREM EU Multi-family","Combined"
2023,"Romania",23.14123167,"CRREM","CRREM EU Multi-family","Combined"
2023,"Slovakia",16.47372017,"CRREM","CRREM EU Multi-family","Combined"
2023,"Slovenia",22.42299833,"CRREM","CRREM EU Multi-family","Combined"
2023,"Spain",11.18969402,"CRREM","CRREM EU Multi-family","Combined"
2023,"Sweden",5.495182798,"CRREM","CRREM EU Multi-family","Combined"
2023,"United Kingdom",22.1819066,"CRREM","CRREM EU Multi-family","Combined"
2023,"Croatia",18.65708984,"CRREM","CRREM EU Multi-family","Combined"
2023,"Switzerland",14.98580358,"CRREM","CRREM EU Multi-family","Combined"
2023,"Norway",9.065374401,"CRREM","CRREM EU Multi-family","Combined"
2024,"Austria",17.48374688,"CRREM","CRREM EU Multi-family","Combined"
2024,"Belgium",32.51063254,"CRREM","CRREM EU Multi-family","Combined"
2024,"Bulgaria",25.64249288,"CRREM","CRREM EU Multi-family","Combined"
2024,"Cyprus",15.43403671,"CRREM","CRREM EU Multi-family","Combined"
2024,"Czech Republic",42.87521723,"CRREM","CRREM EU Multi-family","Combined"
2024,"Denmark",12.90750121,"CRREM","CRREM EU Multi-family","Combined"
2024,"Estonia",72.47765224,"CRREM","CRREM EU Multi-family","Combined"
2024,"Finland",25.28436252,"CRREM","CRREM EU Multi-family","Combined"
2024,"France",13.63505342,"CRREM","CRREM EU Multi-family","Combined"
2024,"Germany",25.08228315,"CRREM","CRREM EU Multi-family","Combined"
2024,"Greece",23.47938162,"CRREM","CRREM EU Multi-family","Combined"
2024,"Hungary",18.97604824,"CRREM","CRREM EU Multi-family","Combined"
2024,"Ireland",28.75442896,"CRREM","CRREM EU Multi-family","Combined"
2024,"Italy",13.19272935,"CRREM","CRREM EU Multi-family","Combined"
2024,"Latvia",19.10733047,"CRREM","CRREM EU Multi-family","Combined"
2024,"Lithuania",22.99959671,"CRREM","CRREM EU Multi-family","Combined"
2024,"Luxembourg",26.10730109,"CRREM","CRREM EU Multi-family","Combined"
2024,"Malta",12.33140081,"CRREM","CRREM EU Multi-family","Combined"
2024,"Netherlands",20.44742816,"CRREM","CRREM EU Multi-family","Combined"
2024,"Poland",51.0152554,"CRREM","CRREM EU Multi-family","Combined"
2024,"Portugal",8.823041401,"CRREM","CRREM EU Multi-family","Combined"
2024,"Romania",21.38178738,"CRREM","CRREM EU Multi-family","Combined"
2024,"Slovakia",15.16304601,"CRREM","CRREM EU Multi-family","Combined"
2024,"Slovenia",20.7431881,"CRREM","CRREM EU Multi-family","Combined"
2024,"Spain",10.43983497,"CRREM","CRREM EU Multi-family","Combined"
2024,"Sweden",5.111066992,"CRREM","CRREM EU Multi-family","Combined"
2024,"United Kingdom",20.40129675,"CRREM","CRREM EU Multi-family","Combined"
2024,"Croatia",17.25429821,"CRREM","CRREM EU Multi-family","Combined"
2024,"Switzerland",13.80916745,"CRREM","CRREM EU Multi-family","Combined"
2024,"Norway",7.535172486,"CRREM","CRREM EU Multi-family","Combined"
2025,"Austria",16.2022363,"CRREM","CRREM EU Multi-family","Combined"
2025,"Belgium",29.89367275,"CRREM","CRREM EU Multi-family","Combined"
2025,"Bulgaria",23.7294333,"CRREM","CRREM EU Multi-family","Combined"
2025,"Cyprus",14.46475684,"CRREM","CRREM EU Multi-family","Combined"
